iter	RMSE
349	1585.588458
350	1584.911294
351	1583.175273
352	1582.122312
353	1579.715769
354	1578.223661
355	1577.057346
356	1576.106032
357	1575.191777
358	1574.473802
359	1572.612865
360	1571.776232
361	1570.554865
362	1568.733515
363	1567.692946
364	1567.143474
365	1565.973705
366	1565.50977
367	1565.013694
368	1563.855703
369	1563.135299
370	1562.311613
371	1561.771612
372	1560.824979
373	1560.135967
374	1558.627224
375	1558.056053
376	1557.189863
377	1556.124531
378	1555.254303
379	1554.571343
380	1552.95021
381	1552.105419
382	1551.332119
383	1550.62746
384	1549.404935
385	1548.333414
386	1547.870734
387	1546.966065
388	1545.953951
389	1544.725248
390	1543.329322
391	1542.399994
392	1541.797479
393	1540.782359
394	1540.235403
395	1539.289517
396	1538.414568
397	1537.386353
398	1536.64493
399	1535.589534
400	1535.019251
401	1534.160648
402	1533.018056
403	1532.272115
404	1530.782567
405	1529.365411
406	1528.877604
407	1527.996143
408	1526.922686
409	1523.708012
410	1523.06022
411	1522.025335
412	1521.143633
413	1520.593318
414	1520.183
415	1519.451385
416	1518.675065
417	1518.046827
418	1517.350222
419	1516.046745
420	1515.517341
421	1514.706434
422	1513.617079
423	1512.154574
424	1511.504926
425	1510.777728
426	1509.672661
427	1508.605567
428	1507.665418
429	1506.607362
430	1506.219196
431	1505.495934
432	1504.654495
433	1504.112571
434	1503.288016
435	1502.288361
436	1501.522892
437	1500.703333
438	1500.052077
439	1499.156593
440	1498.281349
441	1497.756968
442	1496.745231
443	1496.330967
444	1495.705896
445	1494.74953
446	1493.589085
447	1492.588055
448	1491.845534
449	1490.689508
450	1489.44977
451	1488.757591
452	1487.863334
453	1487.362105
454	1486.770133
455	1485.981994
456	1485.255261
457	1484.269698
458	1483.554454
459	1482.681814
460	1481.977181
461	1480.864449
462	1480.104716
463	1479.001142
464	1478.371118
465	1477.877322
466	1477.078942
467	1476.535625
468	1475.551119
469	1474.568375
470	1474.230258
471	1472.935213
472	1472.22463
473	1471.402537
474	1470.995792
475	1469.622773
476	1469.061613
477	1468.352613
478	1467.758337
479	1466.983551
480	1466.342511
481	1465.574846
482	1464.841593
483	1464.188594
484	1463.649531
485	1463.006897
486	1462.337433
487	1461.481013
488	1460.792896
489	1460.247521
490	1459.449461
491	1458.483186
492	1458.019459
493	1457.64718
494	1457.287083
495	1456.134521
496	1455.509242
497	1454.704785
498	1454.050069
499	1453.425004
